year,dpm,rpm,bio,hum,iom,soc_t_ha
0.0,0.36,4.32,0.72,30.6,4.0,40.0
1.0,0.5902,3.5581,0.6198,30.2675,4.0,39.036
2.0,0.5902,3.0028,0.5664,29.9379,4.0,38.097
3.0,0.5902,2.5982,0.5208,29.5929,4.0,37.302
4.0,0.5902,2.3033,0.4836,29.2381,4.0,36.615
5.0,0.5902,2.0884,0.4542,28.878,4.0,36.011
6.0,0.5902,1.9318,0.4312,28.5156,4.0,35.469
7.0,0.5902,1.8176,0.4134,28.1533,4.0,34.975
8.0,0.5902,1.7345,0.3996,27.7929,4.0,34.517
9.0,0.5902,1.6738,0.3889,27.4355,4.0,34.088
10.0,0.5902,1.6297,0.3806,27.082,4.0,33.682
