year,dpm,rpm,bio,hum,iom,soc_t_ha,co2_cum_t_ha
0.0,0.3673,4.4072,0.7345,31.218,3.273,40.0,0.0
1.0,0.5902,3.6216,0.6323,30.8788,3.273,38.996,2.004
2.0,0.5902,3.0491,0.5763,30.5408,3.273,38.029,3.971
3.0,0.5902,2.6319,0.5288,30.1869,3.273,37.211,5.789
4.0,0.5902,2.3279,0.4903,29.8228,3.273,36.504,7.496
5.0,0.5902,2.1063,0.4598,29.4531,3.273,35.882,9.118
6.0,0.5902,1.9448,0.436,29.0811,3.273,35.325,10.675
7.0,0.5902,1.8272,0.4176,28.7092,3.273,34.817,12.183
8.0,0.5902,1.7414,0.4034,28.3391,3.273,34.347,13.653
9.0,0.5902,1.6789,0.3924,27.9722,3.273,33.907,15.093
10.0,0.5902,1.6334,0.3838,27.6092,3.273,33.49,16.51
