simulation_id,yield_kg_ha,soc_change_t_ha
1,3460.0,1.0
2,2077.8,0.81
3,3638.2,1.22
4,3074.6,1.0
5,2363.2,0.96
6,1912.7,0.87
7,3001.1,0.88
8,2383.3,0.89
9,2855.5,0.99
10,2380.8,0.93
11,2627.7,0.87
12,3350.6,1.12
13,3671.3,0.99
14,2494.2,0.9
15,3379.0,1.04
16,2412.3,0.91
17,3015.6,1.01
18,2559.8,0.85
19,3152.1,1.12
20,3122.5,1.13
21,3802.2,1.26
22,4072.1,1.0
23,2897.2,1.0
24,3465.8,1.08
25,2530.9,0.96
26,2984.3,1.03
27,1990.6,0.8
28,3867.7,1.0
29,2219.8,0.89
30,2170.5,0.79
31,3240.9,1.13
32,2531.3,0.86
33,2060.8,0.82
34,3780.6,0.97
35,2893.4,0.86
36,3686.9,1.09
37,2088.6,0.9
38,3972.1,1.18
39,3545.6,1.1
40,3551.3,0.99
41,3238.2,1.2
42,2829.4,1.01
43,3191.0,0.96
44,4331.8,1.15
45,3044.4,0.89
46,2245.9,1.1
47,3039.5,0.98
48,2154.6,0.9
49,3020.5,1.03
50,2420.7,0.95
51,3005.2,0.97
52,2236.5,0.95
53,4843.6,1.33
54,5482.4,1.25
55,2285.3,0.89
56,1986.6,1.08
57,3045.7,1.0
58,3082.0,1.04
59,1829.9,0.93
60,5150.6,1.21
61,3334.3,1.0
62,2801.6,0.88
63,3794.2,1.03
64,3224.1,0.93
65,2727.0,0.81
66,2156.1,0.93
67,3055.4,0.99
68,2247.6,0.89
69,2943.2,0.89
70,2759.8,0.86
71,2631.2,1.04
72,3883.0,1.26
73,3530.9,1.01
74,2211.9,0.81
75,2332.8,0.86
76,2065.9,0.95
77,3159.7,1.14
78,1672.5,0.72
79,3138.9,0.95
80,1948.9,0.9
81,1443.0,0.85
82,3632.4,1.3
83,3201.2,1.01
84,3560.2,1.08
85,3290.1,0.95
86,3182.0,1.07
87,3050.6,1.06
88,2998.8,1.02
89,3730.6,1.06
90,2870.8,0.99
91,2130.0,0.87
92,2816.9,1.12
93,3367.8,0.93
94,3584.9,1.2
95,2184.8,0.86
96,3494.1,1.19
97,3332.7,0.83
98,2514.6,0.91
99,4212.0,1.07
100,3413.5,1.02
101,4125.7,1.01
102,2973.0,0.92
103,2334.9,0.89
104,1878.2,0.81
105,3134.3,1.17
106,3600.6,1.03
107,3060.6,1.03
108,5045.1,1.29
109,3964.5,0.98
110,4532.9,1.21
111,2417.1,0.74
112,2670.1,0.95
113,2268.2,0.93
114,2233.7,0.89
115,3849.6,1.06
116,2346.4,0.98
117,2082.3,0.84
118,3792.7,1.18
119,3746.3,1.2
120,4797.2,1.42
121,2431.4,0.93
122,2862.3,0.98
123,2640.7,1.06
124,2803.3,0.9
125,3707.6,1.12
126,1868.2,0.75
127,2283.3,0.85
128,2583.4,0.9
129,1429.6,0.79
130,4718.7,1.42
131,2315.6,1.0
132,2520.3,0.91
133,2910.8,1.08
134,2032.8,0.84
135,1909.5,0.79
136,3476.5,1.21
137,3391.0,1.08
138,3005.6,0.99
139,3470.4,1.05
140,3236.4,0.97
141,1658.7,0.82
142,4038.6,1.1
143,2035.4,1.02
144,5958.6,1.45
145,2505.8,0.93
146,2594.6,0.77
147,2122.7,0.95
148,2303.7,1.01
149,3207.4,1.0
150,2895.5,1.14
151,2822.1,0.99
152,3142.1,1.04
153,2798.0,1.05
154,2846.8,1.06
155,2917.2,0.99
156,2603.5,1.04
157,2349.5,0.87
158,3087.4,0.91
159,3637.0,1.19
160,3092.1,1.12
161,4132.8,1.09
162,3228.6,1.07
163,2947.4,0.96
164,1379.0,0.87
165,3978.4,1.08
166,1584.9,0.83
167,3288.7,0.89
168,2976.4,1.15
169,2917.0,0.95
170,2802.1,0.99
171,2816.3,0.97
172,2509.7,0.96
173,2246.1,0.89
174,2443.0,0.93
175,3522.9,1.03
176,5585.8,1.29
177,3602.9,1.11
178,3780.6,1.23
179,3874.5,1.22
180,3170.5,1.06
181,2344.5,0.85
182,1939.3,0.79
183,3970.8,1.06
184,2380.3,0.92
185,3770.5,1.08
186,2997.3,0.88
187,1809.0,0.86
188,1548.6,0.72
189,2911.2,0.96
190,2452.4,0.89
191,2284.2,0.92
192,3354.3,0.99
193,2608.2,0.93
194,1807.6,0.81
195,4003.2,0.99
196,2436.0,0.78
197,3376.8,1.08
198,2443.8,0.92
199,3506.2,1.02
200,2397.8,0.87
201,3026.1,1.03
202,2778.1,1.01
203,4083.9,1.36
204,3027.0,1.33
205,2624.6,1.0
206,1720.1,0.9
207,3986.0,1.1
208,2610.8,0.95
209,4169.5,1.12
210,2584.9,0.87
211,3387.7,1.05
212,3508.3,0.98
213,5268.3,1.14
214,2351.3,0.81
215,3817.2,1.03
216,4018.8,1.22
217,2263.6,0.85
218,3490.6,1.03
219,2437.9,0.91
220,2649.5,0.97
221,2599.2,0.95
222,2190.1,0.85
223,4706.7,1.25
224,4270.2,1.09
225,2110.5,0.84
226,2725.4,0.94
227,3663.9,1.13
228,1981.1,0.83
229,2497.0,0.95
230,2508.4,0.98
231,2669.9,0.96
232,2792.9,1.08
233,3262.2,1.24
234,3417.3,1.15
235,3303.9,1.04
236,2646.3,0.95
237,3966.2,1.26
238,3353.7,1.17
239,3349.8,1.0
240,3239.0,0.93
241,1130.8,0.73
242,3887.0,1.12
243,2035.2,0.83
244,2767.6,0.83
245,1633.3,0.66
246,4349.1,1.13
247,3163.2,1.0
248,2111.0,0.82
249,1353.2,0.68
250,2352.2,0.8
251,1453.8,0.8
252,5389.3,1.58
253,1007.8,0.72
254,2878.3,1.17
255,2484.2,0.93
256,2788.7,0.9
257,3323.7,1.2
258,4168.6,1.19
259,2685.9,1.01
260,2699.5,0.84
261,2240.1,1.32
262,1747.1,0.82
263,3208.4,1.04
264,3099.1,0.99
265,1922.8,0.83
266,2444.9,0.83
267,3045.5,0.91
268,3683.7,1.11
269,2122.4,0.72
270,2690.9,1.2
271,3814.5,1.0
272,1983.0,0.97
273,3510.5,0.92
274,2635.5,0.97
275,2005.4,0.83
276,3370.6,1.23
277,2234.5,0.85
278,2664.7,0.99
279,1839.0,0.86
280,3816.4,1.11
281,3761.0,1.23
282,3325.3,1.01
283,2164.4,0.85
284,1814.1,0.8
285,3753.1,1.05
286,2713.5,0.87
287,1990.0,1.02
288,4622.0,1.13
289,3170.9,0.94
290,3497.9,1.19
291,2922.6,1.2
292,1715.7,0.94
293,3283.5,1.02
294,4540.2,1.12
295,2970.0,0.98
296,2498.5,0.87
297,4710.0,1.23
298,2964.9,1.13
299,4483.3,1.1
300,1813.8,0.78
301,1879.6,0.93
302,3064.6,1.01
303,2450.1,1.0
304,3660.2,1.03
305,2319.5,0.85
306,3185.4,1.16
307,2055.3,0.89
308,2221.8,0.85
309,1996.7,0.86
310,2320.7,1.08
311,3507.4,1.15
312,3961.8,1.08
313,1860.8,0.84
314,2783.4,1.1
315,2701.1,0.99
316,4253.5,1.01
317,3486.1,1.21
318,2522.1,0.93
319,2096.3,0.99
320,2653.0,0.9
321,1811.0,1.04
322,1390.6,0.71
323,2617.7,0.94
324,3535.0,0.96
325,3463.6,1.11
326,3505.0,0.95
327,2302.9,0.89
328,4749.2,1.32
329,3980.8,1.12
330,4215.3,1.07
331,2779.3,1.12
332,2832.7,1.15
333,2829.3,0.87
334,1755.4,0.87
335,4337.3,1.07
336,4018.4,1.07
337,3415.9,1.13
338,2988.9,1.06
339,2500.4,0.95
340,4234.7,1.35
341,2229.4,0.87
342,2372.0,0.85
343,2318.9,0.87
344,2627.1,0.99
345,3037.2,0.98
346,3533.4,1.07
347,2513.3,1.02
348,2282.1,0.91
349,3855.9,1.09
350,4100.2,1.2
351,3493.3,1.15
352,3417.2,1.08
353,3521.1,0.94
354,3444.4,1.11
355,4773.3,1.29
356,1773.0,0.83
357,3265.2,0.92
358,3345.1,0.88
359,3939.6,1.07
360,3287.7,0.99
361,3017.8,0.82
362,1691.6,0.83
363,2441.2,0.94
364,4294.5,1.3
365,5069.7,1.31
366,3427.3,1.05
367,2718.6,0.88
368,1809.9,0.97
369,4503.2,1.16
370,3644.5,1.09
371,3871.1,1.12
372,1936.4,0.68
373,1983.9,0.83
374,1680.7,0.89
375,1574.8,0.89
376,3015.6,1.1
377,2044.1,0.82
378,5466.5,1.25
379,3119.0,1.05
380,3881.2,1.01
381,2737.5,0.94
382,2335.4,0.96
383,4049.4,1.21
384,4311.6,1.33
385,3462.1,1.0
386,2101.7,0.91
387,5796.5,1.21
388,2294.1,0.89
389,3030.7,1.05
390,3562.8,1.15
391,4813.6,1.2
392,2418.0,0.82
393,2011.9,0.91
394,2427.7,1.06
395,2407.7,0.88
396,3781.2,1.23
397,2813.7,1.03
398,5214.2,1.27
399,3835.9,1.09
400,1760.4,0.84
401,3944.9,1.17
402,3456.3,1.08
403,2962.6,0.9
404,3017.8,1.01
405,2877.0,0.91
406,2733.6,1.0
407,3236.6,0.87
408,3675.9,1.06
409,3670.9,1.3
410,3026.7,1.14
411,1727.1,0.86
412,2286.1,1.06
413,3838.1,1.19
414,2452.1,0.91
415,3512.9,1.36
416,4017.3,1.24
417,2030.8,0.84
418,4735.1,1.29
419,2922.3,1.3
420,1753.5,0.98
421,3332.0,0.94
422,2266.3,0.79
423,2726.3,0.77
424,2725.0,0.96
425,2791.7,0.95
426,1860.4,0.8
427,1434.2,0.71
428,1098.7,0.7
429,4076.6,1.0
430,2886.1,0.94
431,2291.9,0.9
432,1909.6,0.86
433,2937.9,1.01
434,3579.8,1.39
435,2730.2,1.08
436,3948.7,1.14
437,2637.0,0.97
438,3065.5,1.08
439,2703.9,0.94
440,2374.9,0.91
441,3920.1,1.02
442,2164.1,0.84
443,1658.4,0.8
444,3151.6,1.2
445,2220.8,1.01
446,4291.9,1.16
447,2927.7,0.91
448,1702.5,0.85
449,3142.9,1.19
450,3350.8,1.19
451,2656.4,0.85
452,3496.5,1.1
453,2785.8,0.94
454,3225.8,0.99
455,2051.8,0.89
456,1723.0,0.87
457,1893.6,0.81
458,3008.8,1.0
459,4353.4,1.08
460,4148.8,1.07
461,4246.0,0.98
462,3714.0,1.17
463,2308.9,0.95
464,2411.9,0.96
465,2228.7,0.9
466,3008.5,1.1
467,3181.9,1.09
468,3410.6,0.82
469,2553.0,0.95
470,3396.4,1.08
471,4218.7,1.2
472,2669.9,0.85
473,2587.3,1.02
474,2645.2,0.89
475,3153.0,1.23
476,2727.7,1.0
477,3782.7,1.13
478,2681.3,0.95
479,2841.4,0.87
480,3125.6,1.0
481,3148.8,1.05
482,3863.1,1.04
483,3418.0,1.24
484,4224.1,1.23
485,4567.8,1.09
486,2337.7,0.87
487,2768.8,1.12
488,2137.8,0.92
489,1732.9,0.88
490,4022.5,1.12
491,3707.4,1.07
492,3654.4,1.04
493,2334.7,1.03
494,1757.0,0.69
495,3304.4,1.16
496,3497.5,1.11
497,2521.3,0.86
498,3251.7,1.02
499,3709.6,1.07
500,4687.3,1.23
501,2764.5,0.9
502,2022.3,0.86
503,2480.8,0.91
504,2867.1,0.96
505,2934.2,1.11
506,3206.1,0.89
507,2783.6,1.0
508,2622.1,0.98
509,2501.2,1.01
510,2693.3,1.02
511,2247.3,0.93
512,4286.3,1.12
513,2046.9,0.8
514,2679.1,1.03
515,3633.1,1.1
516,4030.1,1.14
517,3244.0,1.12
518,2445.8,0.94
519,2962.5,0.94
520,2454.6,0.95
521,1748.9,0.85
522,3121.2,0.86
523,5192.9,1.19
524,3692.4,1.1
525,2846.2,0.86
526,3126.4,1.08
527,2314.6,0.9
528,2587.4,0.88
529,3841.5,0.96
530,3751.8,1.22
531,2392.1,0.87
532,4504.6,1.23
533,5201.8,1.34
534,2402.9,1.04
535,2147.0,0.97
536,2451.8,0.93
537,2210.6,0.93
538,3565.1,1.07
539,2103.8,0.84
540,2764.8,0.95
541,2371.9,1.06
542,1951.3,0.8
543,1486.7,0.77
544,5449.2,1.29
545,1835.2,0.81
546,1614.2,0.68
547,4947.6,1.28
548,2897.5,0.88
549,1624.7,1.09
550,2621.8,0.9
551,3096.2,0.95
552,2826.8,0.91
553,2971.1,1.07
554,2707.9,1.06
555,2641.5,1.01
556,2101.8,0.76
557,2736.4,0.91
558,4817.9,1.21
559,3105.0,0.96
560,2240.1,0.88
561,3514.7,1.04
562,3618.3,1.08
563,3634.1,1.01
564,1818.0,0.75
565,2817.2,0.93
566,3870.6,1.28
567,3316.8,1.08
568,3122.4,0.92
569,2407.2,0.9
570,3053.0,0.95
571,2381.0,0.91
572,2349.5,0.88
573,2330.2,0.8
574,3736.3,0.99
575,2292.7,0.84
576,2888.9,1.17
577,2223.1,0.95
578,3669.7,1.14
579,3266.4,1.11
580,2689.6,0.91
581,1958.5,0.91
582,4068.7,1.16
583,3076.3,0.96
584,719.0,0.65
585,2468.1,0.97
586,2729.4,1.07
587,3338.5,0.95
588,2236.3,0.92
589,2609.8,0.86
590,1789.7,0.9
591,2775.3,0.9
592,3224.4,1.12
593,1989.5,0.89
594,3689.9,1.1
595,3289.1,0.99
596,3850.2,1.12
597,2944.8,1.01
598,1949.1,0.95
599,3021.4,0.96
